"Block_id","Codblok","Codito"
1,4,
2,6,
3,7,
4,8,
5,11,
6,17,
7,21,
8,23,
9,24,
10,27,
11,28,
12,29,
13,30,
14,33,
15,34,
16,38,
17,39,
18,42,
19,44,
20,45,
21,46,
22,49,
23,50,
24,51,
25,53,
26,57,
27,58,
28,59,
29,60,
30,61,
31,62,
32,63,
33,64,
34,65,
35,66,
36,67,
37,68,
38,69,
39,70,
40,77,
41,78,
42,79,
43,80,
44,81,
45,82,
46,83,
47,84,
48,85,
49,89,
50,90,
51,91,
52,94,
53,97,
54,100,
55,101,
56,102,
57,105,
58,107,
59,108,
60,109,
61,115,
62,116,
63,117,
64,118,
65,119,
66,120,
67,121,
68,122,
69,123,
70,125,
71,132,
72,136,
73,137,
74,142,
75,146,
76,149,
77,150,
78,151,
79,152,
80,155,
81,160,
82,10,
83,16,
84,17,
85,19,
86,21,
87,23,
88,30,
89,34,
90,37,
91,38,
92,40,
93,41,
94,42,
95,43,
96,44,
97,45,
98,46,
99,47,
100,48,
101,49,
102,57,
103,58,
104,59,
105,60,
106,61,
107,62,
108,71,
109,76,
110,77,
111,78,
112,84,
113,85,
114,87,
115,88,
116,89,
117,90,
118,96,
119,104,
120,106,
121,107,
122,108,
123,109,
124,110,
125,111,
126,112,
127,113,
128,114,
129,124,
130,125,
131,126,
132,131,
133,133,
134,137,
135,138,
136,139,
137,140,
138,152,
139,153,
140,163,
141,164,
142,165,
143,166,
144,168,
145,169,
146,170,
147,171,
148,172,
149,173,
150,174,
151,177,
152,178,
153,179,
154,180,
155,182,
156,185,
157,187,
158,188,
159,192,
160,193,
161,197,
162,198,
163,199,
164,200,
165,201,
166,203,
167,204,
168,205,
169,206,
170,211,
171,157,10501
172,159,10501
173,160,10501
174,161,10501
175,72,10402
176,226,
177,227,
178,228,
179,230,
180,235,
181,236,
182,237,
183,247,
184,268,
185,285,
186,286,
187,304,10710
188,301,10710
189,286,10707
190,285,10707
191,282,10706
192,279,10706
193,263,10702
